,,TOTAUX,899.19
Date,Catégorie,Libellé,Poids_kg,Notes,,,,,,,,,,,,,,,,,,,,,Textile,,,,,,,,,,,,,,,,,,,,
 25/09/2025 ,Vaisselle, Lot     ,11.00, cahier p.3  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,5.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,9.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,8.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,6.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,7.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,5.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,4.00, cahier p.4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 ,Textile, Lot     ,3.00, cahier p.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/sept,Livres,lot,7.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,lot,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,electromenager,,1.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vetements,lot,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Papeterie,,0.45000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASL,,0.33000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEEE,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,,1.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,livres,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEEE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,textile,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,velo,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEEE,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vaiselle,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2025,textile,,4.5
